Runs,Ball Faced,Strike Rate,Opposition,Ground,Pitch Type,Is Captain,Is Fifty? (Label Column),,
4,3,133.33,v England,Chester-le-Street,Green,No,No,,
8,6,133.33,v England,Birmingham,Green,No,No,,
13,11,118.18,v Sri Lanka,Hambantota,Green,No,No,,
65,38,171.05,v India,Colombo (RPS),Dust,No,Yes,,
38,32,118.75,v New Zealand,Durban,Dead,No,No,,
63,43,146.51,v New Zealand,East London,Green,No,Yes,,
1,9,11.11,v New Zealand,Port Elizabeth,Green,No,No,,
6,4,150,v Pakistan,Centurion,Green,Yes,No,,
8,11,72.72,v Sri Lanka,Colombo (RPS),Dust,Yes,No,,
12,15,80,v Sri Lanka,Hambantota,Green,Yes,No,,
85,65,130.76,v Sri Lanka,Hambantota,Green,Yes,Yes,,
37,40,92.5,v Pakistan,Dubai (DSC),Green,Yes,No,,
58,48,120.83,v Pakistan,Dubai (DSC),Green,Yes,Yes,,
22,22,100,v Pakistan,Johannesburg,Green,Yes,No,,
6,10,60,v Pakistan,Cape Town,Dust,Yes,No,,
27,13,207.69,v Australia,Durban,Dead,Yes,No,,
5,6,83.33,v Australia,Centurion,Green,Yes,No,,
13,8,162.5,v New Zealand,Chattogram,Dust,Yes,No,,
24,14,171.42,v Netherlands,Chattogram,Dust,Yes,No,,
58,41,141.46,v India,Dhaka,Dust,Yes,Yes,,
38,20,190,v West Indies,Cape Town,Dust,Yes,No,,
119,56,212.5,v West Indies,Johannesburg,Green,Yes,Yes,,
79,61,129.5,v Bangladesh,Dhaka,Dust,Yes,Yes,,
16,17,94.11,v Bangladesh,Dhaka,Dust,Yes,No,,
4,5,80,v India,Dharamsala,Green,Yes,No,,
16,14,114.28,v India,Cuttack,Dust,Yes,No,,
25,30,83.33,v England,Cape Town,Dust,Yes,No,,
22,21,104.76,v England,Johannesburg,Green,Yes,No,,
40,26,153.84,v Australia,Durban,Dead,Yes,No,,
79,41,192.68,v Australia,Johannesburg,Green,Yes,Yes,,
4,7,57.14,v Australia,Cape Town,Dust,Yes,No,,
17,17,100,v England,Mumbai,Green,Yes,No,,
41,27,151.85,v Afghanistan,Mumbai,Green,Yes,No,,
9,7,128.57,v West Indies,Nagpur,Dead,Yes,No,,
31,36,86.11,v Sri Lanka,Delhi,Dead,Yes,No,,
36,25,144,v New Zealand,Auckland,Dust,Yes,No,,
29,18,161.11,v Pakistan,Lahore,Green,Yes,No,,
20,14,142.85,v Pakistan,Lahore,Green,Yes,No,,
13,13,100,v Pakistan,Lahore,Green,Yes,No,,
34,20,170,v Zimbabwe,East London,Green,Yes,No,,
12,9,133.33,v Zimbabwe,Potchefstroom,Dust,Yes,No,,
27,15,180,v Australia,Carrara,Green,Yes,No,,
78,45,173.33,v Pakistan,Cape Town,Dust,Yes,Yes,,
21,23,91.3,v Sri Lanka,Cape Town,Dust,Yes,No,,
24,22,109.09,v Australia,Johannesburg,Green,No,No,,
15,14,107.14,v Australia,Port Elizabeth,Green,No,No,,
5,7,71.42,v Australia,Cape Town,Dust,No,No,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
